time.day,Size_cm,Structure,Texture,Plant.Influence,P.cm,et_cm.d,ET,P-ET
19,20,S,Clay,Plant,6.3,,,
20.9,20,S,Clay,Plant,6.3,,,
21,20,S,Clay,Plant,7.2,,,
22,20,S,Clay,Plant,7.2,,,
23.9,20,S,Clay,Plant,7.2,,,
24,20,S,Clay,Plant,8.1,,,
25,20,S,Clay,Plant,8.1,,,
26.9,20,S,Clay,Plant,8.1,,,
27,20,S,Clay,Plant,9,,,
28,20,S,Clay,Plant,9,,,
29.9,20,S,Clay,Plant,9,,,
30,20,S,Clay,Plant,9.9,,,
30.9,20,S,Clay,Plant,18.9,,,
31,20,S,Clay,Plant,18.9,,,
32,20,S,Clay,Plant,18.9,,,
33,20,S,Clay,Plant,18.9,,,
0,60,NS,Clay,Plant,0.9,,,
1,60,NS,Clay,Plant,0.9,,,
2.9,60,NS,Clay,Plant,0.9,,,
3,60,NS,Clay,Plant,1.8,,,
4,60,NS,Clay,Plant,1.8,,,
5.9,60,NS,Clay,Plant,1.8,,,
6,60,NS,Clay,Plant,2.7,,,
7,60,NS,Clay,Plant,2.7,,,
8.9,60,NS,Clay,Plant,2.7,,,
9,60,NS,Clay,Plant,3.6,,,
10,60,NS,Clay,Plant,3.6,,,
11.9,60,NS,Clay,Plant,3.6,,,
12,60,NS,Clay,Plant,4.5,,,
13,60,NS,Clay,Plant,4.5,,,
14.9,60,NS,Clay,Plant,4.5,,,
15,60,NS,Clay,Plant,5.4,,,
16,60,NS,Clay,Plant,5.4,,,
17.9,60,NS,Clay,Plant,5.4,,,
18,60,NS,Clay,Plant,6.3,,,
19,60,NS,Clay,Plant,6.3,,,
20.9,60,NS,Clay,Plant,6.3,,,
21,60,NS,Clay,Plant,7.2,,,
22,60,NS,Clay,Plant,7.2,,,
23.9,60,NS,Clay,Plant,7.2,,,
24,60,NS,Clay,Plant,8.1,,,
25,60,NS,Clay,Plant,8.1,,,
26.9,60,NS,Clay,Plant,8.1,,,
27,60,NS,Clay,Plant,9,,,
28,60,NS,Clay,Plant,9,,,
29.9,60,NS,Clay,Plant,9,,,
30,60,NS,Clay,Plant,9.9,,,
30.9,60,NS,Clay,Plant,18.9,,,
31,60,NS,Clay,Plant,18.9,,,
32,60,NS,Clay,Plant,18.9,,,
33,60,NS,Clay,Plant,18.9,,,
0,60,,Sand,No Plant,0.9,,,
1,60,,Sand,No Plant,0.9,,,
2.9,60,,Sand,No Plant,0.9,,,
3,60,,Sand,No Plant,1.8,,,
4,60,,Sand,No Plant,1.8,,,
5.9,60,,Sand,No Plant,1.8,,,
6,60,,Sand,No Plant,2.7,,,
7,60,,Sand,No Plant,2.7,,,
8.9,60,,Sand,No Plant,2.7,,,
9,60,,Sand,No Plant,3.6,,,
10,60,,Sand,No Plant,3.6,,,
11.9,60,,Sand,No Plant,3.6,,,
12,60,,Sand,No Plant,4.5,,,
13,60,,Sand,No Plant,4.5,,,
14.9,60,,Sand,No Plant,4.5,,,
15,60,,Sand,No Plant,5.4,,,
16,60,,Sand,No Plant,5.4,,,
17.9,60,,Sand,No Plant,5.4,,,
18,60,,Sand,No Plant,6.3,,,
19,60,,Sand,No Plant,6.3,,,
20.9,60,,Sand,No Plant,6.3,,,
21,60,,Sand,No Plant,7.2,,,
22,60,,Sand,No Plant,7.2,,,
23.9,60,,Sand,No Plant,7.2,,,
24,60,,Sand,No Plant,8.1,,,
25,60,,Sand,No Plant,8.1,,,
26.9,60,,Sand,No Plant,8.1,,,
27,60,,Sand,No Plant,9,,,
28,60,,Sand,No Plant,9,,,
29.9,60,,Sand,No Plant,9,,,
30,60,,Sand,No Plant,9.9,,,
30.9,60,,Sand,No Plant,18.9,,,
31,60,,Sand,No Plant,18.9,,,
32,60,,Sand,No Plant,18.9,,,
33,60,,Sand,No Plant,18.9,,,
0,60,,Sand,Plant,0.9,,,
1,60,,Sand,Plant,0.9,,,
2.9,60,,Sand,Plant,0.9,,,
3,60,,Sand,Plant,1.8,,,
4,60,,Sand,Plant,1.8,,,
5.9,60,,Sand,Plant,1.8,,,
6,60,,Sand,Plant,2.7,,,
7,60,,Sand,Plant,2.7,,,
8.9,60,,Sand,Plant,2.7,,,
9,60,,Sand,Plant,3.6,,,
10,60,,Sand,Plant,3.6,,,
11.9,60,,Sand,Plant,3.6,,,
12,60,,Sand,Plant,4.5,,,
13,60,,Sand,Plant,4.5,,,
14.9,60,,Sand,Plant,4.5,,,
15,60,,Sand,Plant,5.4,,,
16,60,,Sand,Plant,5.4,,,
17.9,60,,Sand,Plant,5.4,,,
18,60,,Sand,Plant,6.3,,,
19,60,,Sand,Plant,6.3,,,
20.9,60,,Sand,Plant,6.3,,,
21,60,,Sand,Plant,7.2,,,
22,60,,Sand,Plant,7.2,,,
23.9,60,,Sand,Plant,7.2,,,
24,60,,Sand,Plant,8.1,,,
25,60,,Sand,Plant,8.1,,,
26.9,60,,Sand,Plant,8.1,,,
27,60,,Sand,Plant,9,,,
28,60,,Sand,Plant,9,,,
29.9,60,,Sand,Plant,9,,,
30,60,,Sand,Plant,9.9,,,
30.9,60,,Sand,Plant,18.9,,,
31,60,,Sand,Plant,18.9,,,
32,60,,Sand,Plant,18.9,,,
33,60,,Sand,Plant,18.9,,,
0,20,,Sand,No Plant,0.9,,,
1,20,,Sand,No Plant,0.9,,,
2.9,20,,Sand,No Plant,0.9,,,
3,20,,Sand,No Plant,1.8,,,
4,20,,Sand,No Plant,1.8,,,
5.9,20,,Sand,No Plant,1.8,,,
6,20,,Sand,No Plant,2.7,,,
7,20,,Sand,No Plant,2.7,,,
8.9,20,,Sand,No Plant,2.7,,,
9,20,,Sand,No Plant,3.6,,,
10,20,,Sand,No Plant,3.6,,,
11.9,20,,Sand,No Plant,3.6,,,
12,20,,Sand,No Plant,4.5,,,
13,20,,Sand,No Plant,4.5,,,
14.9,20,,Sand,No Plant,4.5,,,
15,20,,Sand,No Plant,5.4,,,
16,20,,Sand,No Plant,5.4,,,
17.9,20,,Sand,No Plant,5.4,,,
18,20,,Sand,No Plant,6.3,,,
19,20,,Sand,No Plant,6.3,,,
20.9,20,,Sand,No Plant,6.3,,,
21,20,,Sand,No Plant,7.2,,,
22,20,,Sand,No Plant,7.2,,,
23.9,20,,Sand,No Plant,7.2,,,
24,20,,Sand,No Plant,8.1,,,
25,20,,Sand,No Plant,8.1,,,
26.9,20,,Sand,No Plant,8.1,,,
27,20,,Sand,No Plant,9,,,
28,20,,Sand,No Plant,9,,,
29.9,20,,Sand,No Plant,9,,,
30,20,,Sand,No Plant,9.9,,,
30.9,20,,Sand,No Plant,18.9,,,
31,20,,Sand,No Plant,18.9,,,
32,20,,Sand,No Plant,18.9,,,
33,20,,Sand,No Plant,18.9,,,
0,20,,Sand,Plant,0.9,,,
1,20,,Sand,Plant,0.9,,,
2.9,20,,Sand,Plant,0.9,,,
3,20,,Sand,Plant,1.8,,,
4,20,,Sand,Plant,1.8,,,
5.9,20,,Sand,Plant,1.8,,,
6,20,,Sand,Plant,2.7,,,
7,20,,Sand,Plant,2.7,,,
8.9,20,,Sand,Plant,2.7,,,
9,20,,Sand,Plant,3.6,,,
10,20,,Sand,Plant,3.6,,,
11.9,20,,Sand,Plant,3.6,,,
12,20,,Sand,Plant,4.5,,,
13,20,,Sand,Plant,4.5,,,
14.9,20,,Sand,Plant,4.5,,,
15,20,,Sand,Plant,5.4,,,
16,20,,Sand,Plant,5.4,,,
17.9,20,,Sand,Plant,5.4,,,
18,20,,Sand,Plant,6.3,,,
19,20,,Sand,Plant,6.3,,,
20.9,20,,Sand,Plant,6.3,,,
21,20,,Sand,Plant,7.2,,,
22,20,,Sand,Plant,7.2,,,
23.9,20,,Sand,Plant,7.2,,,
24,20,,Sand,Plant,8.1,,,
25,20,,Sand,Plant,8.1,,,
26.9,20,,Sand,Plant,8.1,,,
27,20,,Sand,Plant,9,,,
28,20,,Sand,Plant,9,,,
29.9,20,,Sand,Plant,9,,,
30,20,,Sand,Plant,9.9,,,
30.9,20,,Sand,Plant,18.9,,,
31,20,,Sand,Plant,18.9,,,
32,20,,Sand,Plant,18.9,,,
33,20,,Sand,Plant,18.9,,,
